reactions,fluxes
CITtcp,2.80E-29
13GS,0.326670001
ACACT6p,4.08E-15
ACACT7p,-7.89E-16
ACACT8p,-7.89E-16
ACCOAC,0.114455404
AGAT_SC,0.007110283
AGPRim,0.046260019
AGTi,0.015000682
AHCi,0.005383089
AHSERL2,0.016494705
ACGKm,0.046260019
2OBUTtm,0.055471721
2OXOADPtim,0.082387164
ACHBSm,0.055471721
ACLSm,0.16149266
ACOAO4p,-7.89E-16
AICART,0.047581322
AIRCr,0.028495826
AKGDam,0.221000741
AKGDbm,0.221000741
ACOAO5p,3.39E-15
ACOAO6p,3.39E-15
ACOAO7p,-7.89E-16
ACOAO8p,-7.89E-16
AKGtp,-4.38E-33
ALATA_L,-0.147073467
ACONT,0.266054602
ACONTm,0.263224399
ACOTAim,0.046260019
ACS,0.147070588
ACt2r,8.80E-12
ALCD2ir,15.81547482
3C3HMPtm,-0.085323395
ADK1,0.448805661
ALDD2y,0.130575883
ADNK1,0.005383089
ADSK,0.016494705
ADSL1r,0.033363635
ADSL2r,0.028495826
ADSS,0.033363635
ANPRT,0.008175386
ATPtm_H,4.455984977
ATPtp_H,4.18E-15
ANS,0.008175386
BPNT,0.016494705
C14STR,0.000633305
C24STRer,0.000201506
C3STDH1,0.000633305
ARGSL,0.046260019
ARGSS,0.046260019
ASAD,-0.125164008
C3STDH2,0.000633305
C3STKR1,0.000633305
C3STKR2,0.000633305
C4STMO1,0.000633305
C4STMO2,0.000633305
ASNS1,0.029275942
CATp,2.04E-15
ASPCT,0.031837947
ASPGLUtp,-2.80E-29
ASPK,0.125164008
CBPS,0.078097965
ASPTA,-0.386133936
ASPTAm,0.006096513
3MOBtm,-0.076169265
ASPTAp,-2.80E-29
ASPt2m,0.006096513
ATPM,1
ATPPRT,0.019085496
ATPS3m,4.281244254
3MOPtm,-0.055471721
CHLSTI,0.000201506
CHORM,0.06790752
CHORS,0.076082905
CO2t,-18.02108434
CO2tm,-1.494988318
CO2tp,2.80E-29
COAtim,0.003799827
CITtam,-0.266054602
CITtap,2.80E-29
CRNt,2.14E-15
DDPA,0.076082905
DESAT14,7.89E-16
DESAT16,0.002740481
DESAT18,0.005319758
CSNATp,-2.14E-15
CSNATr,2.14E-15
CSm,0.529279002
DESAT18_2,0.001450843
DGK1,-0.000690878
CTPS1,0.012867597
DHAD1m,0.16149266
DHAD2m,0.055471721
CYOOm,1.983954366
CYOR_u6m,3.967908731
DHFR,0.001036317
CYSTGL,0.001899914
CYSTLp,-2.28E-15
CYSTS,0.001899914
DHFRim,-5.64E-18
DHFtm,-5.64E-18
DHORD4i,0.031837947
CYSTtp,-2.28E-15
DHORTS,-0.031837947
DHQS,0.076082905
DHQTi,0.076082905
CYTK1,-0.007829947
DADK,-0.001036317
DAGPYP_SC,0.001899914
DMATT,0.001266609
DOLPMMer,0.232566702
DASYN_SC,0.00503765
DB4PS,0.000569974
DCMPDA,-0.000690878
DOLPMTcer,0.232566702
DOLPt2er,-0.232566702
DPMVD,0.003799827
ECOAH4p,7.89E-16
ECOAH5p,7.89E-16
ECOAH6p,-3.39E-15
ECOAH7p,7.89E-16
ECOAH8p,7.89E-16
DROPPRy,0.000284987
DRTPPD,0.000284987
ENO,17.87415552
ERGSTter,0.000201506
ERGTETROLter,0.000201506
ETOHt,-15.81547482
EX_etoh_e,15.81547482
6PGLter,-0.000834811
EX_for_e,0.001488266
EX_ac_e,-8.80E-12
EX_glc__D_e,-10
EX_h2o_e,5.64045476
EX_h_e,1.449530479
AASAD2,0.082387164
EX_co2_e,18.02108434
AATA,0.082387164
EX_so4_e,-0.022252019
EX_nadp_e,-1.17E-14
EX_nh4_e,-1.611028896
EX_o2_e,-2
EX_pi_e,-0.05691105
ACACT1m,0.003799827
ACACT4p,-7.89E-16
ACACT5p,-7.89E-16
FACOAL180,2.57E-16
FACOAL240p,-7.89E-16
FA140COAabcp,4.18E-15
FACOAL80p,7.89E-16
FAO240p,-7.89E-16
FAO80p,2.82E-29
FAS100,-7.89E-16
FA181COAabcp,-2.80E-29
FA240tp,-7.89E-16
FAS100COA,0.016120479
FAS120,-7.89E-16
FAS120COA,0.01579807
FAS140COA,0.014830841
FAS141,-7.89E-16
FA80tp,7.89E-16
FACOAL140,5.33E-16
FACOAL141,-7.89E-16
FAS160,-5.33E-16
FAS160COA,0.013218793
FAS180COA,0.006125782
FAS240_L,-7.89E-16
G5SADs,0.047411481
G5SD2,0.047411481
GLUPRT,0.028495826
G6PDH2r,0.801635216
G6PDH2er,0.000834811
G6Pter,0.000834811
GLUt7m,0.086423525
