id,lnClb,lnCub
dms_e,0,0
dcyt_p,0,0
fum_p,0,0
tyr__L_p,0,0
feenter_e,0,0
arbtn_e,0,0
cpgn_un_e,0,0
alaala_e,0,0
clpn120_p,0,0
chtbs_p,0,0
fusa_p,0,0
h_c,0,0
ala__L_e,0,0
tcynt_p,0,0
so2_p,0,0
2agpg181_p,0,0
thym_p,0,0
cysi__L_e,0,0
co2_e,0,0
akg_e,0,0
gsn_e,0,0
din_p,0,0
malt_p,0,0
pppn_p,0,0
murein3px4p_p,0,0
12dgr181_p,0,0
ribflv_p,0,0
btn_e,0,0
ocdcea_e,0,0
acmum_e,0,0
man_p,0,0
adocbl_e,0,0
dump_p,0,0
eca4und_p,0,0
clpn161_p,0,0
1ddecg3p_p,0,0
ca2_p,0,0
novbcn_p,0,0
no2_e,0,0
g6p_e,0,0
val__L_p,0,0
ppt_p,0,0
pyr_p,0,0
peamn_p,0,0
mso3_e,0,0
murein5p5p_p,0,0
thrp_e,0,0
1odecg3p_p,0,0
LalaLglu_e,0,0
f_p,0,0
ade_e,0,0
rmn_e,0,0
2ddglcn_e,0,0
glyb_e,0,0
glcr_e,0,0
cu2_e,0,0
15dap_p,0,0
ptrc_p,0,0
arbtn_p,0,0
34dhpac_e,0,0
anhgm_e,0,0
cu2_p,0,0
14glucan_p,0,0
dsbard_p,0,0
galctn__L_e,0,0
pydxn_p,0,0
novbcn_e,0,0
gln__L_e,0,0
tre_e,0,0
idon__L_e,0,0
pheme_e,0,0
all__D_e,0,0
ca2_e,0,0
fe2_p,0,0
g1p_e,0,0
udcpdp_p,0,0
ag_e,0,0
pe140_p,0,0
2tdecg3p_p,0,0
o16a4colipa_e,0,0
mepn_p,0,0
all__D_p,0,0
h2o_p,0,0
hdca_p,0,0
gal1p_p,0,0
g3pe_e,0,0
clpn140_p,0,0
12dgr180_p,0,0
2agpe140_p,0,0
f_e,0,0
alltn_e,0,0
f6p_e,0,0
ocdca_e,0,0
but_e,0,0
cobalt2_e,0,0
uri_p,0,0
ocdcea_p,0,0
metsox_R__L_e,0,0
pheme_p,0,0
dimp_p,0,0
ctbt_p,0,0
murein5p4p_p,0,0
clpn141_p,0,0
1agpg181_p,0,0
mepn_e,0,0
zn2_e,0,0
ura_e,0,0
lys__L_e,0,0
acnam_p,0,0
g6p_p,0,0
pnto__R_p,0,0
amp_p,0,0
gal_bD_p,0,0
fald_p,0,0
LalaDgluMdapDala_e,0,0
alpp_p,0,0
5mtr_p,0,0
cellb_e,0,0
sbt__D_e,0,0
arg__L_e,0,0
dgsn_e,0,0
spmd_e,0,0
h_p,0,0
succ_p,0,0
gal_p,0,0
maltttr_p,0,0
dtmp_p,0,0
acgal_p,0,0
cys__D_e,0,0
pgp160_p,0,0
val__L_e,0,0
met__D_e,0,0
dmso_e,0,0
g3pe_p,0,0
pg141_p,0,0
pydx_p,0,0
cellb_p,0,0
thymd_e,0,0
sucr_p,0,0
gmp_e,0,0
isetac_p,0,0
alaala_p,0,0
lpp_p,0,0
1agpe181_p,0,0
LalaLglu_p,0,0
mththf_p,0,0
3hpppn_e,0,0
his__L_p,0,0
no2_p,0,0
cd2_e,0,0
crn__D_p,0,0
cd2_p,0,0
murein4px4p4p_p,0,0
slnt_p,0,0
ttrcyc_p,0,0
puacgam_p,0,0
etoh_e,0,0
pro__L_e,0,0
gam6p_e,0,0
nac_e,0,0
acmana_p,0,0
nh4_p,0,0
cbi_p,0,0
gal_bD_e,0,0
imp_p,0,0
glcur1p_p,0,0
skm_p,0,0
murein5px3p_p,0,0
2agpe161_p,0,0
5dglcn_e,0,0
4abzglu_e,0,0
malt_e,0,0
mn2_e,0,0
tma_e,0,0
lyx__L_e,0,0
gtp_e,0,0
man6p_p,0,0
lipa_cold_p,0,0
murein3p3p_p,0,0
pe120_p,0,0
ppal_p,0,0
colipap_p,0,0
dhps_p,0,0
fru_e,0,0
pyr_e,0,0
malttr_e,0,0
ppt_e,0,0
na1_p,0,0
glyald_p,0,0
hom__L_e,0,0
dcmp_e,0,0
dgmp_e,0,0
23ccmp_e,0,0
udpg_e,0,0
acgal_e,0,0
2agpe181_p,0,0
2tdec7eg3p_p,0,0
psuri_p,0,0
ac_e,0,0
k_e,0,0
taur_e,0,0
glcn_p,0,0
gua_p,0,0
fe3hox_un_p,0,0
xmp_e,0,0
so3_p,0,0
glcur1p_e,0,0
3hpp_p,0,0
cit_e,0,0
leu__L_e,0,0
ala__D_e,0,0
fe2_e,0,0
galt_e,0,0
cynt_e,0,0
cit_p,0,0
xan_p,0,0
fruur_p,0,0
sulfac_e,0,0
2agpe141_p,0,0
lipa_cold_e,0,0
gal_e,0,0
dha_e,0,0
gbbtn_p,0,0
4abut_p,0,0
mnl_p,0,0
LalaDgluMdap_p,0,0
skm_e,0,0
gam_e,0,0
met__L_e,0,0
acmana_e,0,0
ascb__L_e,0,0
thymd_p,0,0
23dappa_e,0,0
lipa_p,0,0
zn2_p,0,0
progly_e,0,0
cs1_p,0,0
h_e,0,0
asn__L_e,0,0
lcts_e,0,0
dca_e,0,0
met__L_p,0,0
ser__L_p,0,0
octa_p,0,0
chtbs_e,0,0
dopa_e,0,0
isetac_e,0,0
pe160_p,0,0
mincyc_p,0,0
sq_e,0,0
dcyt_e,0,0
orot_e,0,0
gln__L_p,0,0
glyc_p,0,0
thr__L_p,0,0
ttdca_p,0,0
metsox_S__L_p,0,0
pacald_p,0,0
eca4colipa_p,0,0
udpglcur_e,0,0
murein3px3p_p,0,0
1agpe161_p,0,0
ppa_p,0,0
metglcur_e,0,0
adn_e,0,0
tma_p,0,0
fe3dcit_e,0,0
damp_e,0,0
o16a4und_p,0,0
hg2_e,0,0
dsbcox_p,0,0
clpn160_p,0,0
clpn181_p,0,0
arbt_p,0,0
doxrbcn_e,0,0
dxylnt_p,0,0
arab__L_e,0,0
pppn_e,0,0
3hcinnm_e,0,0
dha_p,0,0
colipa_p,0,0
colipa_e,0,0
glyc2p_p,0,0
pe141_p,0,0
pe181_p,0,0
12dgr140_p,0,0
2hdecg3p_p,0,0
cs1_e,0,0
man_e,0,0
h2_e,0,0
nmn_e,0,0
man6p_e,0,0
csn_p,0,0
cytd_p,0,0
fuc__L_p,0,0
mal__L_p,0,0
tmao_p,0,0
hxa_p,0,0
mobd_p,0,0
g1p_p,0,0
pser__L_p,0,0
fe3dhbzs_p,0,0
cu_e,0,0
pg160_p,0,0
pa120_p,0,0
ser__D_e,0,0
amp_e,0,0
ile__L_p,0,0
nmn_p,0,0
hxan_p,0,0
metsox_R__L_p,0,0
23cgmp_p,0,0
LalaDgluMdap_e,0,0
cgly_p,0,0
1agpg160_p,0,0
4abzglu_p,0,0
dad_2_e,0,0
thym_e,0,0
fecrm_p,0,0
ins_p,0,0
o2_p,0,0
ala_B_p,0,0
cbi_e,0,0
tungs_p,0,0
dtmp_e,0,0
dsbcrd_p,0,0
pgp181_p,0,0
orot_p,0,0
LalaDglu_p,0,0
lac__D_e,0,0
adn_p,0,0
asn__L_p,0,0
dgsn_p,0,0
manglyc_p,0,0
dms_p,0,0
h2s_p,0,0
feoxam_e,0,0
lipoate_e,0,0
so2_e,0,0
crn__D_e,0,0
chol_e,0,0
gly_e,0,0
tmao_e,0,0
acac_p,0,0
but_p,0,0
34dhpac_p,0,0
lipa_e,0,0
enlipa_e,0,0
n2o_e,0,0
cobalt2_p,0,0
mmet_p,0,0
aso3_e,0,0
dsbgox_p,0,0
pg140_p,0,0
crn_e,0,0
thm_e,0,0
glyald_e,0,0
indole_e,0,0
mg2_e,0,0
glyclt_p,0,0
xtsn_p,0,0
akg_p,0,0
g3pg_e,0,0
ttdcea_p,0,0
kdo2lipid4_p,0,0
fad_p,0,0
glyc_e,0,0
tartr__L_e,0,0
octa_e,0,0
