id	lnClb	lnCub
2dr5p_c	-14.50865774	1
2hb_c	-14.50865774	1
2hb_e	-14.50865774	1
2hhxdal_c	-14.50865774	1
2hp6mbq_m	-14.50865774	1
2hp6mp_m	-14.50865774	1
2hpmhmbq_m	-14.50865774	1
2hpmmbq_m	-14.50865774	1
2ippm_c	-14.50865774	1
2kmb_c	-14.50865774	1
2mahmp_c	-14.50865774	1
2mbac_c	-14.50865774	1
2mbac_e	-14.50865774	1
2mbald_c	-14.50865774	1
2mbald_e	-14.50865774	1
2mbald_m	-14.50865774	1
2mbtoh_c	-14.50865774	1
2mbtoh_e	-14.50865774	1
2mbtoh_m	-14.50865774	1
2mcit_m	-14.50865774	1
2mppal_c	-14.50865774	1
2mppal_e	-14.50865774	1
2mppal_m	-14.50865774	1
2obut_c	-14.50865774	1
2obut_m	-14.50865774	1
2oxoadp_c	-14.50865774	1
2oxoadp_m	-14.50865774	1
2pg_c	-14.50865774	1
2phetoh_c	-14.50865774	1
2phetoh_e	-14.50865774	1
2phetoh_m	-14.50865774	1
10fthf_c	-14.50865774	1
34hpl_m	-14.50865774	1
34hpp_c	-14.50865774	1
34hpp_m	-14.50865774	1
10fthf_m	-14.50865774	1
4fumacac_c	-14.50865774	1
34hpp_x	-14.50865774	1
35ccmp_c	-14.50865774	1
4gudbd_c	-14.50865774	1
12dgr_SC_c	-14.50865774	1
35cdamp_c	-14.50865774	1
13BDglcn_c	-14.50865774	1
4gudbutn_c	-14.50865774	1
35cgmp_c	-14.50865774	1
4h2oglt_c	-14.50865774	1
13BDglcn_e	-14.50865774	1
35cimp_c	-14.50865774	1
13dampp_c	-14.50865774	1
13dpg_c	-14.50865774	1
4h2oglt_m	-14.50865774	1
4h2oglt_x	-14.50865774	1
3c2hmp_c	-14.50865774	1
14glun_c	-14.50865774	1
3c3hmp_c	-14.50865774	1
16BDglcn_c	-14.50865774	1
3c3hmp_e	-14.50865774	1
1Dgali_c	-14.50865774	1
4hbz_c	-14.50865774	1
3c3hmp_m	-14.50865774	1
4hbz_m	-14.50865774	1
1ag3p_SC_c	-14.50865774	1
4hbzcoa_m	-14.50865774	1
3c4mop_c	-14.50865774	1
4hglusa_m	-14.50865774	1
1agly3p_SC_c	-14.50865774	1
1agpc_SC_c	-14.50865774	1
3c4mop_m	-14.50865774	1
1mncam_c	-14.50865774	1
4hpro_LT_c	-14.50865774	1
3dh5hpb_c	-14.50865774	1
4hpro_LT_m	-14.50865774	1
1p3h5c_c	-14.50865774	1
3dh5hpb_m	-14.50865774	1
1p3h5c_m	-14.50865774	1
4hthr_c	-14.50865774	1
3dhq_c	-14.50865774	1
4mhetz_c	-14.50865774	1
4mlacac_c	-14.50865774	1
1pyr5c_c	-14.50865774	1
3dhsk_c	-14.50865774	1
1pyr5c_m	-14.50865774	1
4mop_c	-14.50865774	1
3dsphgn_c	-14.50865774	1
4mop_m	-14.50865774	1
3hanthrn_c	-14.50865774	1
4mpetz_c	-14.50865774	1
3hdcoa_x	-14.50865774	1
4mzym_c	-14.50865774	1
23camp_c	-14.50865774	1
3hddcoa_x	-14.50865774	1
4mzym_int1_c	-14.50865774	1
4mzym_int2_c	-14.50865774	1
4pasp_c	-14.50865774	1
4ppan_c	-14.50865774	1
4ppcys_c	-14.50865774	1
4r5au_c	-14.50865774	1
23dhmb_m	-14.50865774	1
3hhdcoa_x	-14.50865774	1
23dhmp_m	-14.50865774	1
5aizc_c	-14.50865774	1
5aop_c	-14.50865774	1
3hodcoa_x	-14.50865774	1
5aop_e	-14.50865774	1
23dpg_c	-14.50865774	1
25aics_c	-14.50865774	1
5aop_m	-14.50865774	1
3hph5mb_m	-14.50865774	1
5aprbu_c	-14.50865774	1
25dhpp_c	-14.50865774	1
3htdcoa_x	-14.50865774	1
25dthpp_c	-14.50865774	1
5dpmev_c	-14.50865774	1
3hxccoa_x	-14.50865774	1
5fthf_c	-14.50865774	1
2ahbut_m	-14.50865774	1
3ig3p_c	-14.50865774	1
2ahhmd_m	-14.50865774	1
5fthf_m	-14.50865774	1
3ipmmest_c	-14.50865774	1
2ahhmp_m	-14.50865774	1
3mbald_c	-14.50865774	1
2amsa_c	-14.50865774	1
3mbald_e	-14.50865774	1
2aobut_c	-14.50865774	1
5mdr1p_c	-14.50865774	1
3mbald_m	-14.50865774	1
5mdru1p_c	-14.50865774	1
2cpr5p_c	-14.50865774	1
2dda7p_c	-14.50865774	1
3mob_c	-14.50865774	1
2dda7p_m	-14.50865774	1
5mta_c	-14.50865774	1
5mthf_c	-14.50865774	1
3mob_m	-14.50865774	1
5pmev_c	-14.50865774	1
2dglc_c	-14.50865774	1
3mop_c	-14.50865774	1
2dhp_c	-14.50865774	1
6dg_c	-14.50865774	1
3mop_e	-14.50865774	1
2dhp_m	-14.50865774	1
3mop_m	-14.50865774	1
2doxg6p_c	-14.50865774	1
6pgc_c	-14.50865774	1
3odcoa_x	-14.50865774	1
6pgl_c	-14.50865774	1
2dr1p_c	-14.50865774	1
3oddcoa_x	-14.50865774	1
6pgl_r	-14.50865774	1
3ohdcoa_x	-14.50865774	1
8aonn_c	-14.50865774	1
3ohodcoa_x	-14.50865774	1
8aonn_e	-14.50865774	1
acon_T_c	-14.50865774	1
3ohxccoa_x	-14.50865774	1
ACP_c	-14.50865774	1
3ophb_5_c	-14.50865774	1
ACP_m	-14.50865774	1
acorn_m	-14.50865774	1
Dara14lac_c	-14.50865774	1
3ophb_5_m	-14.50865774	1
acrn_c	-14.50865774	1
3otdcoa_x	-14.50865774	1
acrn_m	-14.50865774	1
L2aadp6sa_c	-14.50865774	1
L2aadp_c	-14.50865774	1
3pg_c	-14.50865774	1
cysi__L_c	-14.50865774	1
acrn_x	-14.50865774	1
3php_c	-14.50865774	1
acser_c	-14.50865774	1
cysi__L_v	-14.50865774	1
3psme_c	-14.50865774	1
Lfmkynr_c	-14.50865774	1
actn__R_c	-14.50865774	1
44mctr_c	-14.50865774	1
acybut_c	-14.50865774	1
Lkynr_c	-14.50865774	1
44mzym_c	-14.50865774	1
N1aspmd_c	-14.50865774	1
ade_c	-14.50865774	1
4aabutn_c	-14.50865774	1
ade_e	1	1
N1sprm_c	-14.50865774	1
4abut_c	-14.50865774	1
NPmehis_c	-14.50865774	1
Nbfortyr_c	-14.50865774	1
Nbfortyr_e	-14.50865774	1
ade_m	-14.50865774	1
adn_c	-14.50865774	1
adn_e	1	1
4abut_e	1	1
adn_m	-14.50865774	1
Nfortyr_c	-14.50865774	1
Sfglutth_c	-14.50865774	1
4abut_m	-14.50865774	1
Ssq23epx_c	-14.50865774	1
adp_c	-14.50865774	1
4abutn_c	-14.50865774	1
adp_g	-14.50865774	1
adp_m	-14.50865774	1
Ssq23epx_r	-14.50865774	1
T4hcinnm_m	-14.50865774	1
4abutn_m	-14.50865774	1
aacald_c	-14.50865774	1
adp_n	-14.50865774	1
4abz_c	-14.50865774	1
adp_v	-14.50865774	1
aacoa_c	-14.50865774	1
4abz_e	-14.50865774	1
aacoa_m	-14.50865774	1
adp_x	-14.50865774	1
4abz_m	-14.50865774	1
adprib_c	-14.50865774	1
aact_c	-14.50865774	1
4adcho_c	-14.50865774	1
abt_c	-14.50865774	1
adprib_m	-14.50865774	1
ahcys_c	-14.50865774	1
abt_e	-14.50865774	1
4ahmmp_c	-14.50865774	1
ahcys_m	-14.50865774	1
4ampm_c	-14.50865774	1
ahdt_c	-14.50865774	1
acACP_c	-14.50865774	1
atp_n	-14.50865774	1
acACP_m	-14.50865774	1
ac_c	-14.50865774	1
ac_e	1	1
aicar_c	-14.50865774	1
air_c	-14.50865774	1
akg_c	-14.50865774	1
akg_e	1	1
akg_m	-14.50865774	1
atp_v	-14.50865774	1
akg_n	-14.50865774	1
ac_m	-14.50865774	1
ac_x	-14.50865774	1
atp_x	-14.50865774	1
acac_c	-14.50865774	1
b124tc_m	-14.50865774	1
acald_c	-14.50865774	1
akg_x	-14.50865774	1
ala_B_c	-14.50865774	1
btamp_c	-14.50865774	1
ala__L_c	-14.50865774	1
acald_e	1	1
acald_m	-14.50865774	1
btd_RR_c	-14.50865774	1
accoa_c	-14.50865774	1
ala__L_e	1	1
btd_RR_e	-14.50865774	1
ala__L_m	-14.50865774	1
accoa_m	-14.50865774	1
btn_c	-14.50865774	1
accoa_n	-14.50865774	1
alac__S_m	-14.50865774	1
alatrna_c	-14.50865774	1
btn_e	1	1
allphn_c	-14.50865774	1
alltn_c	-14.50865774	1
accoa_x	-14.50865774	1
aces_c	-14.50865774	1
aces_e	-14.50865774	1
camp_c	-14.50865774	1
acg5p_m	-14.50865774	1
alltn_e	1	1
caphis_c	-14.50865774	1
alltt_c	-14.50865774	1
acg5sa_m	-14.50865774	1
cbasp_c	-14.50865774	1
acgam1p_c	-14.50865774	1
alltt_e	-14.50865774	1
alpam_m	-14.50865774	1
cbasp_n	-14.50865774	1
alpro_m	-14.50865774	1
acgam6p_c	-14.50865774	1
acglu_m	-14.50865774	1
cbp_c	-14.50865774	1
achms_c	-14.50865774	1
amet_c	-14.50865774	1
cbp_n	-14.50865774	1
amet_e	-14.50865774	1
acon5m_c	-14.50865774	1
cdp_c	-14.50865774	1
amet_m	-14.50865774	1
cdp_n	-14.50865774	1
ametam_c	-14.50865774	1
cdpchol_c	-14.50865774	1
amob_c	-14.50865774	1
amp2p_c	-14.50865774	1
cdpdag_SC_c	-14.50865774	1
amp_c	-14.50865774	1
cdpdag_SC_m	-14.50865774	1
amp_m	-14.50865774	1
amp_n	-14.50865774	1
amp_x	-14.50865774	1
cdpea_c	-14.50865774	1
anth_c	-14.50865774	1
cer1_24_c	-14.50865774	1
ap4a_c	-14.50865774	1
ap4g_c	-14.50865774	1
apep_c	-14.50865774	1
dca_e	1	1
cer1_24_r	-14.50865774	1
aproa_c	-14.50865774	1
cer1_26_c	-14.50865774	1
aprop_c	-14.50865774	1
cer1_26_r	-14.50865774	1
aprut_c	-14.50865774	1
cer2_24_c	-14.50865774	1
aps_c	-14.50865774	1
arab__D_c	-14.50865774	1
cer2_24_r	-14.50865774	1
dca_x	-14.50865774	1
cer2_26_c	-14.50865774	1
arab__D_e	-14.50865774	1
arab__L_c	-14.50865774	1
cer2_26_r	-14.50865774	1
arab__L_e	1	1
cer3_24_c	-14.50865774	1
arg__L_c	-14.50865774	1
cer3_26_c	-14.50865774	1
arg__L_e	1	1
cgly_c	-14.50865774	1
arg__L_m	-14.50865774	1
arg__L_v	-14.50865774	1
