reaction	g0
13BGH	1e-05
13BGHe	1e-05
13GS	-1e-05
16GS	-1e-05
23CAPPD	-1e-05
2DDA7Ptm	1e-05
2DDA7Ptm_reverse	-1e-05
2DHPtm	1e-05
2DHPtm_reverse	-1e-05
2DOXG6PP	-15.1
2HBO	13.1
2HBO_reverse	-13.1
2HBt2	1e-05
2HBt2_reverse	-1e-05
2HMHMBQMTm	1e-05
2HP6MPMOm	-1e-05
2HPMBQMTm	-1e-05
2HPMMBQMOm	1e-05
2MBACt	1e-05
2MBALDt	1e-05
2MBALDt_reverse	-1e-05
2MBALDtm	1e-05
2MBALDtm_reverse	-1e-05
2MBTOHt	1e-05
2MBTOHt_reverse	-1e-05
2MBTOHtm	1e-05
2MBTOHtm_reverse	-1e-05
2MPPALt	1e-05
2MPPALt_reverse	-1e-05
2MPPALtm	1e-05
2MPPALtm_reverse	-1e-05
2OBUTtm	1e-05
2OBUTtm_reverse	-1e-05
2OXOADPtim	1e-05
2PHETOHt	1e-05
2PHETOHt_reverse	-1e-05
2PHETOHtm	1e-05
2PHETOHtm_reverse	-1e-05
34HPLFM	-74.0
34HPPOR	-549.0
34HPPt2m	1e-05
34HPPt2m_reverse	-1e-05
34HPPt2p	1e-05
34HPPt2p_reverse	-1e-05
3C3HMPt	1e-05
3C3HMPt_reverse	-1e-05
3C3HMPtm	1e-05
3C3HMPtm_reverse	-1e-05
3C4MOPtm	1e-05
3C4MOPtm_reverse	-1e-05
3DH5HPBMTm	-1e-05
3DH5HPBtm	1e-05
3DH5HPBtm_reverse	-1e-05
3DSPHR	-14.9
3HAO	-248.0
3HPH5MBDCm	-8.4
3IPM3MT	-1e-05
3MBALDt	1e-05
3MBALDt_reverse	-1e-05
3MBALDtm	1e-05
3MBALDtm_reverse	-1e-05
3MOBDC	-8.7
3MOBtm	1e-05
3MOBtm_reverse	-1e-05
3MOPDC	-8.7
3MOPt	1e-05
3MOPt_reverse	-1e-05
3MOPtm	1e-05
3MOPtm_reverse	-1e-05
3OPHB5Hm	-206.2
3OPHB_5tm	1e-05
3OPHB_5tm_reverse	-1e-05
4ABUTNtm	1e-05
4ABUTNtm_reverse	-1e-05
4ABUTtm	1e-05
4ABUTtm_reverse	-1e-05
4ABZt	1e-05
4ABZt_reverse	-1e-05
4ABZtm	1e-05
4ABZtm_reverse	-1e-05
4H2OGLTtm	1e-05
4H2OGLTtm_reverse	-1e-05
4H2OGLTtp	1e-05
4H2OGLTtp_reverse	-1e-05
4HBZCOAFm	-15.3
4HBZFm	-27.0
4HBZtm	1e-05
4HBZtm_reverse	-1e-05
4HGLSDm	-42.8
4HGLSDm_reverse	42.8
4HPRO_LTtm	1e-05
4HPRO_LTtm_reverse	-1e-05
4HTHRS	-14.9
4MOPDC	-10.0
5AOPt2	1e-05
5AOPtm	1e-05
5AOPtm_reverse	-1e-05
6PGLter	1e-05
6PGLter_reverse	-1e-05
8AONNt2	1e-05
8AONNt2_reverse	-1e-05
AABTN	-18.7
AACTOOR	-94.0
AASAD1	4.1
AASAD2	4.0
AATA	0.7
AATA_reverse	-0.7
ABTA	6.5
ABTt	1e-05
ABTt_reverse	-1e-05
ABUTDm	-52.1
ABUTt2r	1e-05
ABUTt2r_reverse	-1e-05
ACACT1m	25.0
ACACT1r	25.0
ACACT4p	-30.2
ACACT5p	-1e-05
ACACT6p	-30.2
ACACT7p	-30.2
ACACT8p	-32.9
ACACT9p	-1e-05
ACALDCD	-14.4
ACALDt	1e-05
ACALDt_reverse	-1e-05
ACALDtm	1e-05
ACALDtm_reverse	-1e-05
ACCOAC	-8.6
ACCOAC_reverse	8.6
ACCOACrm	-8.6
ACCOACrm_reverse	8.6
ACCOAtn	1e-05
ACCOAtn_reverse	-1e-05
ACESt	1e-05
ACGAM6PS	-26.0
ACGAM6PS_reverse	26.0
ACGAMPM	4.6
ACGAMPM_reverse	-4.6
ACGKm	24.6
ACGSm	-25.2
ACHBSm	-19.0
ACHLE1	-30.5
ACHLE2	-30.5
ACHLE3	1e-05
ACLSm	-28.0
ACOAHim	-34.4
ACOAO4p	1e-05
ACOAO5p	-73.0
ACOAO6p	-73.0
ACOAO7p	-70.0
ACOAO8p	-73.0
ACOAO9p	1e-05
ACOATA	-1e-05
ACOATA_reverse	1e-05
ACOATAm	-1e-05
ACOATAm_reverse	1e-05
ACON3MT	-1e-05
ACONT	6.85
ACONT3m	-1e-05
ACONT3m_reverse	1e-05
ACONT_reverse	-6.85
ACONTm	6.85
ACONTm_reverse	-6.85
ACOTAim	3.2
ACP1e	-15.8
ACPSm	-48.1
ACRNtm	1e-05
ACRNtp	1e-05
ACS	-7.6
ACSm	-7.6
ACSp	-7.6
ACt2r	1e-05
ACt2r_reverse	-1e-05
ACtm	1e-05
ACtm_reverse	-1e-05
ACtp	1e-05
ACtp_reverse	-1e-05
ACtr	1e-05
ACtr_reverse	-1e-05
ADA	-20.8
ADCL	-90.0
ADCS	-18.0
ADD	-21.1
ADEt2	1e-05
ADEtm	1e-05
ADEtm_reverse	-1e-05
ADHAPR_SC	-65.6
ADK1	0.27
ADK1_reverse	-0.27
ADK1m	0.27
ADK1m_reverse	-0.27
ADK3	3.0
ADK3_reverse	-3.0
ADK3m	3.0
ADK3m_reverse	-3.0
ADK4	-1.0
ADK4_reverse	1.0
ADK4m	-1.0
ADK4m_reverse	1.0
ADMDC	-20.6
ADNCYC	1.1
ADNK1	-14.5
ADNUC	-6.0
ADNt2	1e-05
ADPT	-21.4
ADSK	-17.0
ADSL1r	16.2
ADSL1r_reverse	-16.2
ADSL2r	23.8
ADSL2r_reverse	-23.8
ADSS	0.5
AGAT_SC	-1728.0
AGPRim	-5.1
AGTi	-8.4
AHCYStm	1e-05
AHCYStm_reverse	-1e-05
AHCi	34.7
AHMMPS	-79.0
AHSERL	-60.2
AHSERL2	-64.0
AICART	12.0
AICART_reverse	-12.0
AIRCr	-3.3
AIRCr_reverse	3.3
AKGDam	-22.0
AKGDam_reverse	22.0
AKGDbm	-7.9
AKGMAL	1e-05
AKGMAL_reverse	-1e-05
AKGt2n	1e-05
AKGt2n_reverse	-1e-05
AKGt2r	1e-05
AKGt2r_reverse	-1e-05
AKGtp	1e-05
AKGtp_reverse	-1e-05
AKP1	-90.0
ALASm	16.0
ALATA_L	0.2
ALATA_L_reverse	-0.2
ALATA_Lm	0.2
ALATA_Lm_reverse	-0.2
ALATRS	-1e-05
ALAt2r	1e-05
ALAt2r_reverse	-1e-05
ALAtmi	1e-05
ALCD19y	-36.7
ALCD22xi	-18.2
ALCD22xim	-18.2
ALCD22yi	-18.2
ALCD23xi	-18.2
ALCD23xim	-18.2
ALCD23yi	-18.2
