E. coli Average abundance,S. cerevisiae Average abundance,Diffusion coefficient,S. cerevisiae initial average abundance,"Group (1 is the wild group, 2 is the btuB knockout group, 3 is the fhuA knockout group)",Fe3+ (0 is the control groups. 1 is the groups of 1.2 times the upper bound),Fe2+ (0 is the control groups. 1 is the groups of 1.2 times the upper bound)
0.626974894,0.373025106,0.02,0.623668464,1,0,0
0.678219527,0.321780473,0.02,0.577682053,1,0,0
0.692431228,0.307568772,0.02,0.450904028,1,0,0
0.733433254,0.266566746,0.02,0.42215444,1,0,0
0.717130217,0.282869783,0.02,0.450398038,1,0,0
0.785653885,0.214346115,0.06,0.37731169,1,0,0
0.691443998,0.308556002,0.06,0.485559192,1,0,0
0.786702276,0.213297724,0.06,0.365003947,1,0,0
0.634526083,0.365473917,0.06,0.548564637,1,0,0
0.68204231,0.31795769,0.06,0.55730679,1,0,0
0.652188849,0.347811151,0.1,0.500135927,1,0,0
0.746662996,0.253337004,0.1,0.398106317,1,0,0
0.60013008,0.39986992,0.1,0.512999839,1,0,0
0.686482297,0.313517703,0.1,0.431649315,1,0,0
0.701873662,0.298126338,0.1,0.473253378,1,0,0
0.648644524,0.351355476,0.02,0.546833115,1,1,0
0.692778375,0.307221625,0.02,0.515801474,1,1,0
0.738449216,0.261550784,0.02,0.423370229,1,1,0
0.640519213,0.359480787,0.06,0.539706549,1,1,0
0.702956442,0.297043558,0.06,0.426182205,1,1,0
0.655872952,0.344127048,0.06,0.541682911,1,1,0
0.632828941,0.367171059,0.1,0.559584032,1,1,0
0.617054324,0.382945676,0.1,0.501604664,1,1,0
0.670614688,0.329385312,0.1,0.578353674,1,1,0
0.660170251,0.339829749,0.02,0.577634201,2,0,0
0.735018151,0.264981849,0.02,0.452335525,2,0,0
0.724150589,0.275849411,0.02,0.44889496,2,0,0
0.729011496,0.270988504,0.02,0.428490177,2,0,0
0.683456005,0.316543995,0.02,0.549173228,2,0,0
0.67014595,0.32985405,0.06,0.511637917,2,0,0
0.652343663,0.347656337,0.06,0.545214835,2,0,0
0.708809014,0.291190986,0.06,0.450530994,2,0,0
0.724317084,0.275682916,0.06,0.424216118,2,0,0
0.686783093,0.313216907,0.06,0.523812547,2,0,0
0.648497916,0.351502084,0.1,0.437013548,2,0,0
0.6669035,0.3330965,0.1,0.479859763,2,0,0
0.684922818,0.315077182,0.1,0.490148227,2,0,0
0.680815224,0.319184776,0.1,0.463317397,2,0,0
0.656079956,0.343920044,0.1,0.505995686,2,0,0
0.710374615,0.289625385,0.02,0.457531999,2,1,0
0.657553789,0.342446211,0.02,0.517781355,2,1,0
0.705673874,0.294326126,0.02,0.507710633,2,1,0
0.627924541,0.372075459,0.06,0.499705319,2,1,0
0.727367355,0.272632645,0.06,0.40149575,2,1,0
0.702561478,0.297438522,0.06,0.441553185,2,1,0
0.714691341,0.285308659,0.1,0.423893376,2,1,0
0.684571119,0.315428881,0.1,0.465597255,2,1,0
0.716339133,0.283660867,0.1,0.445904147,2,1,0
0.677228647,0.322771353,0.02,0.538663729,3,0,0
0.73162859,0.26837141,0.02,0.471454153,3,0,0
0.69229213,0.30770787,0.02,0.474305553,3,0,0
0.724334841,0.275665159,0.02,0.415021663,3,0,0
0.698956446,0.301043554,0.02,0.543364265,3,0,0
0.669067221,0.330932779,0.06,0.511573905,3,0,0
0.709536134,0.290463866,0.06,0.528636044,3,0,0
0.694755212,0.305244788,0.06,0.452983258,3,0,0
0.698439676,0.301560324,0.06,0.501758238,3,0,0
0.69218261,0.30781739,0.06,0.527553152,3,0,0
0.702196339,0.297803661,0.1,0.42185097,3,0,0
0.66879146,0.33120854,0.1,0.518807555,3,0,0
0.602057977,0.397942023,0.1,0.495100611,3,0,0
0.668193733,0.331806267,0.1,0.473294586,3,0,0
