reactions_strain0,vmax_strain0,reactions_strain1,vmax_strain1
EX_acgam_e,20,EX_13BDglcn_e,20
EX_cellb_e,20,EX_2hb_e,20
EX_chol_e,20,EX_2mbac_e,20
EX_pi_e,20,EX_2mbald_e,20
EX_h_e,20,EX_2mbtoh_e,20
EX_ade_e,20,EX_2mppal_e,20
EX_4abut_e,20,EX_2phetoh_e,20
EX_ac_e,20,EX_3c3hmp_e,20
EX_akg_e,20,EX_3mbald_e,20
EX_ala__L_e,20,EX_3mop_e,20
EX_arg__L_e,20,EX_4abut_e,20
EX_asp__L_e,20,EX_4abz_e,20
EX_cytd_e,20,EX_5aop_e,20
EX_dcyt_e,20,EX_8aonn_e,20
EX_fum_e,20,EX_abt_e,20
EX_glu__L_e,20,EX_acald_e,20
EX_gua_e,20,EX_ac_e,20
EX_met__L_e,20,EX_aces_e,20
EX_metsox_S__L_e,20,EX_ade_e,20
EX_crn_e,20,EX_adn_e,20
EX_fe3_e,20,EX_akg_e,20
EX_glcn_e,20,EX_ala__L_e,20
EX_gln__L_e,20,EX_alltn_e,20
EX_glyc_e,20,EX_alltt_e,20
EX_man_e,20,EX_amet_e,20
EX_mn2_e,20,EX_arab__D_e,20
EX_rib__D_e,20,EX_arab__L_e,20
EX_sbt__D_e,20,EX_arg__L_e,20
EX_ura_e,20,EX_asn__L_e,20
EX_val__L_e,20,EX_asp__L_e,20
EX_xan_e,20,EX_btd_RR_e,20
EX_co2_e,20,EX_btn_e,20
EX_hxan_e,20,EX_chol_e,20
EX_ile__L_e,20,EX_cit_e,20
EX_lac__L_e,20,EX_co2_e,20
EX_leu__L_e,20,EX_crn_e,20
EX_no3_e,20,EX_csn_e,20
EX_orn_e,20,EX_cys__L_e,20
EX_pro__L_e,20,EX_cytd_e,20
EX_pyr_e,20,EX_dad_2_e,20
EX_succ_e,20,EX_dann_e,20
EX_thymd_e,20,EX_dca_e,20
EX_tyr__L_e,20,EX_dcyt_e,20
EX_btn_e,20,EX_ddca_e,20
EX_ptrc_e,20,EX_dgsn_e,20
EX_spmd_e,20,EX_din_e,20
EX_thym_e,20,EX_dttp_e,20
EX_xtsn_e,20,EX_duri_e,20
EX_fe2_e,20,EX_epist_e,20
EX_glc__D_e,20,EX_epistest_SC_e,20
EX_alltn_e,20,EX_ergst_e,20
EX_dgsn_e,20,EX_ergstest_SC_e,20
EX_arab__L_e,20,EX_etha_e,20
EX_fru_e,20,EX_etoh_e,20
EX_gal_e,20,EX_fe2_e,20
EX_xyl__D_e,20,EX_fecost_e,20
EX_duri_e,20,EX_fecostest_SC_e,20
EX_for_e,20,EX_fmn_e,20
EX_gly_e,20,EX_for_e,20
EX_h2_e,20,EX_fru_e,20
EX_lys__L_e,20,EX_fum_e,20
EX_ser__L_e,20,EX_g3pc_e,20
EX_thm_e,20,EX_g3pi_e,20
